company,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats
Maruti,Swift 1.3 LXI,99999.0,80000,Petrol,Manual,3rd Owner,2007-05-28,1298,5
Maruti,SX4 Celebration Petrol,200000.0,90000,Petrol,Manual,2nd Owner,2009-08-13,1586,5
Maruti,Vitara Brezza LXI,775000.0,10000,Petrol,Manual,1st Owner,2021-06-25,1462,5
Maruti,Wagon R LXI BS IV,215000.0,120000,Petrol,Manual,1st Owner,2011-03-21,998,5
Maruti,Wagon R LXI BS IV,237000.0,120000,Petrol,Manual,1st Owner,2011-03-03,998,5
Maruti,Zen LX,55000.0,90000,Petrol,Manual,3rd Owner,2002-10-03,993,5
Mahindra,KUV 100 NXT G80 K2,425000.0,46000,Petrol,Manual,1st Owner,2018-06-11,1198,6
Nissan,Sunny XL D,575000.0,28000,Diesel,Manual,1st Owner,2017-02-27,1461,5
Honda,WR-V SV,825000.0,24000,Petrol,Manual,1st Owner,2020-04-08,1199,5
Honda,WR-V i-VTEC S,690000.0,23000,Petrol,Manual,1st Owner,2018-06-21,1199,5
Honda,WR-V i-VTEC VX,775000.0,24300,Petrol,Manual,1st Owner,2018-12-01,1199,5
Honda,WR-V i-VTEC VX,790000.0,51000,Petrol,Manual,1st Owner,2019-11-30,1199,5
Kia,Seltos GTX Plus DCT,1490000.0,6000,Petrol,Automatic,1st Owner,2020-02-13,1353,5
Kia,Seltos GTX Plus DCT,1725000.0,12600,Petrol,Automatic,1st Owner,2021-10-26,1353,5
Jeep,Meridian Limited Opt AT 4x4,3700000.0,3500,Diesel,Automatic,1st Owner,2022-10-12,1956,7
Hyundai,i10 Era,229999.99999999997,120000,Petrol,Manual,1st Owner,2011-12-29,1086,5
Hyundai,Grand i10 Nios Sportz CNG,750000.0,5000,Cng,Manual,1st Owner,2022-06-28,1197,5
Hyundai,Santro Xing GLS,135000.0,120000,Petrol,Manual,4th Owner,2010-01-17,1086,5
Honda,Jazz V CVT,695000.0,40000,Petrol,Automatic,1st Owner,2018-09-04,1199,5
Honda,City i-VTEC V,785000.0,96000,Petrol,Manual,1st Owner,2018-05-11,1497,5
Honda,City 1.5 S MT,325000.0,67000,Petrol,Manual,2nd Owner,2010-04-25,1497,5
Honda,City i-VTEC V,790000.0,72000,Petrol,Manual,1st Owner,2018-06-26,1497,5
Hyundai,i10 Magna,321000.0,89000,Petrol,Manual,1st Owner,2013-03-29,1197,5
Volkswagen,Polo Diesel Trendline 1.2L,330000.0,64000,Diesel,Manual,1st Owner,2011-10-18,1199,5
Maruti,Swift Vdi BSIII,200000.0,120000,Diesel,Manual,3rd Owner,2010-12-10,1248,5
